org,repo,activity,comments,prs,commits,issues,authors,project,url
kubernetes+kubernetes-incubator+kubernetes-client+GoogleCloudPlatform,kubernetes+kubernetes.github.io+charts+test-infra+helm+service-catalog+kops+minikube+dashboard+community+contrib+kargo+ingress+heapster+kompose+bootkube+features+cri-o+client-python+external-dns+kubeadm+external-storage+kube-aws+autoscaler+kubespray+client-go+frakti+release+kubernetes-anywhere+kube-state-metrics+dns+cri-tools+kompose+rktlet+apiserver-builder+examples+java+perf-tests+node-problem-detector+nfs-provisioner+cri-containerd+cluster-capacity+kube-mesos-framework+node-feature-discovery+kubectl+kube-deploy+git-sync+gen+gengo+python-base+cluster-proportional-autoscaler+k8s.io+utils+csharp+reference-docs+spartakus+pr-bot+typescript+sig-release+repo-infra+kubernetes-workshops+kubernetes-bootcamp+kube-openapi+kube-arbitrator+apimachinery+ocid+apiserver+metrics-server+apiextensions-apiserver+metrics+application-images+kubernetes-template-project+ip-masq-agent+sample-apiserver+cluster-proportional-vertical-autoscaler+steering+custom-metrics-apiserver+kubernetes-docs-cn+md-check+kube-aggregator+community+api+javascript+ruby+kube-ui+cluster-proportional-autoscaler+ocid+kubedash+kube2consul,253617,175505,40351,13977,23784,1810,Kubernetes,kubernetes.io
grpc+grpc-ecosystem,grpc+grpc-java+grpc-go+grpc-gateway+grpc.github.io+grpc-swift+go-grpc-middleware+grpc-opentracing+proposal+grpc-haskell+grpc-experiments+polyglot+homebrew-grpc+grpc-docker-library+grpc-httpjson-transcoding+go-grpc-prometheus+java-grpc-prometheus+grpc-simon-says+grpc-proto+grift+grpc-common+grpc-exchange-o-gram+grpc-contrib+meetup-kit,37176,20158,8274,3742,5002,365,gRPC,grpc.io
prometheus,prometheus+alertmanager+node_exporter+docs+snmp_exporter+client_golang+blackbox_exporter+tsdb+client_java+mysqld_exporter+jmx_exporter+prometheus.github.io+client_python+common+promu+client_ruby+pushgateway+statsd_exporter+procfs+consul_exporter+haproxy_exporter+cloudwatch_exporter+prombench+prom2json+golang-builder+memcached_exporter+collectd_exporter+graphite_exporter+influxdb_exporter+client_model+busybox+promdash+nagios_plugins,19898,11503,3034,2563,2798,258,Prometheus,prometheus.io
fluent,fluentd+fluent-bit+fluent-plugin-kafka+fluentd-docker-image+fluentd-docs+fluent-plugin-s3+fluentd-kubernetes-daemonset+fluentd-website+fluent-bit-docs+fluent-logger-node+fluent-logger-python+fluent-logger-ruby+fluent-plugin-webhdfs+fluent-logger-golang+fluent-plugin-grok-parser+fluent-plugin-mongo+fluent-bit-kubernetes-daemonset+kafka-connect-fluentd+fluent-logger-perl+fluent-plugin-rewrite-tag-filter+fluent-plugin-sql+fluent-bit-docker-image+fluent-plugin-windows-eventlog+fluentd-ui+fluent-bit-go+fluent-logger-scala+fluent-plugin-flume+fluent-logger-java+serverengine+fluentd-forwarder+fluent-plugin-multiprocess+fluent-logger-php+NLog.Targets.Fluentd+fluent-bit-packaging+fluentd-benchmark+nginx-fluentd-module+data-collection+fluent-bit-docker+fluent-plugin-scribe+fluentd-docs-kubernetes,8921,4012,1403,2388,1118,156,Fluentd,fluentd.org
coreos+rkt,rkt+rkt+rkt-builder+stage1-xen,4401,2870,725,328,478,78,rkt,github.com/rkt/rkt
opentracing,opentracing-java+specification+opentracing.io+opentracing-go+opentracing-csharp+opentracing-javascript+opentracing.github.io+opentracing-cpp+opentracing-python+opentracing-php+opentracing-ruby+opentracing-objc+basictracer-go+basictracer-python+contrib+basictracer-csharp+basictracer-javascript,3949,2426,569,596,358,76,OpenTracing,opentracing.io
containerd+docker,containerd+containerd+continuity+console+cgroups+go-runc+fifo+btrfs,3804,2138,1019,363,284,68,containerd,containerd.io
containernetworking,cni+plugins,1790,1102,384,151,153,50,CNI,github.com/containernetworking
linkerd,linkerd+linkerd-tcp+linkerd-examples+tacho+linkerd-viz+linkerd-zipkin+linkerd-inject+rustup-nightly-docker+namerctl,4770,1646,919,1484,721,49,Linkerd,linkerd.io
coredns,coredns+coredns.io+blog.coredns.io+perf-tests+new.coredns.io+deployment+grpc+example+coredns-grpc+logo+presentations,3455,1639,638,750,428,33,CoreDNS,coredns.io
jaegertracing,jaeger-openshift+jaeger-kubernetes+test-repo-move,453,270,87,56,40,7,Jaeger,github.com/jaegertracing
envoyproxy,envoyproxy.github.io,9,0,2,7,0,3,Envoy,github.com/envoyproxy
